abv,beer_id,brewer_id,beer_name,beer_style,review_appearance,review_aroma,review_overall,review_palate,profile_name,review_taste,text,time
6.2,51573,96,Odd Notion (Fall 2009),Belgian Dark Ale,4.0,3.5,3.5,4.5,DannyS,4.0," Poured from a 12 oz bottle into a pint glass.		A - Pours thickly; a stout-like pitch black with very little head. Despite the lack of top foam, it looks velvety smooth.		S - Roasty coffee, smoky notes, and a background aroma of dried fruit. Picked up an occasional whiff of some sort of unpleasant mustiness.		T - Very roasty bitter with a twinge of sweetness in its robust, smoky profile. A slightly sour, fruity profile begins to seep through as it warms. Does not finish dry, but the bitterness lingers.		M - Thick, smooth, and pretty fizzy. a good balance of textures.		D - The ABV is a titch high and the bitterness does stick around for a while, so it's not really a session brew, but finishing a whole glass is not difficult at all.		Overall - It's officially a Belgian ale, but seems to carry traits of stout and even rauchbier. A delicious mutt of a beer.",2009-10-05 21:44:19
5.0,717,256,Downtown Brown,English Brown Ale,4.0,4.0,4.0,4.0,n0rc41,4.0, Good all around beer. This is my girlfriends favorite beer so far....Poured into a pint glass. nice dark color with brown creamy head. Tasted of dark malts and little nutty-carmel tastes to it. went down smooth with nice after taste. I had thsi beer on tap and in the bottle. I prefer it out of the tap....from a pint glass I think it tasted better....,2009-10-05 21:44:25
5.0,571,113,Samuel Smith's Oatmeal Stout,Oatmeal Stout,4.0,4.0,4.0,4.5,SamN,3.5," Purchased a bomber from Supermarket Liquors in Fort Collins. Poured in an Samuel Smith pint glass.		A- Nearly perfect black, with just a little light coming through the glass. Billowy light tan head that hangs around and sticks to the glass. The head is thinner than you'd expect, more like the head on a Belgian beer than an English stout.		S- Malt smell, the sticky sweetness of the oats is just noticeable, light apples and pears, and a hint of grassiness. Pleasant, but kinda weak.		T- Not your usual stout; the oat mash really transforms this stout into something different; a grainy sweetness dominates the taste, moving to dried fruits and finishing with a disappointing old dishwater close. It's like they gave up halfway through the taste. It's good, but the taste is a little too thin and transparent for an olde English oatmeal stout.		M- Medium bodied, and a chewy texture makes each sip a pleasure to wade through. Very little carbonation to speak of.		D- Good, seems like it would go good paired with a roast and thick stew. No chance of this beer overpowering your meal.",2009-10-05 21:45:53
4.6,401,118,Dark Island,Scottish Ale,4.0,4.0,3.5,4.0,abuliarose,4.0," Poured into a snifter, revealing black opaque body with a dense and creamy-looking head. Smells a little boozy and a little like molasses, quite sweet. Notes of dark fruits. Slight dry sourness.		Tastes very interesting. It has the same astringency as black tea and is surprisingly medium-bodied. It kinda reminds me of the asian black jelly you can buy in cans. Roasty, a hint of sourness and very gentle bitterness that doesn't penetrate the tongue. Mouthfeel is ok with its medium to watery thickness and tiny, rounded carbonation. It's fairly drinkable excepting the odd tea flavors.		This is my first Scottish ale, but based on my findings I'll be comparing other like beers to this style in the near future.",2009-10-05 21:47:36
4.9,5044,18968,Kipona Fest,Märzen / Oktoberfest,4.0,3.5,4.0,4.0,drcarver,4.0," A - a medium brown body with an off white head. Decent lacing, nice retention.		S - Sweet doughy malt.		T - Sweet, brown sugar like flavor with roasted malt. Sugar hangs on the side of the tongue.		M - medium bodied. Alcohol and astringent aftertaste		D - Goes down nicely and at 5% could easily session this beer.",2009-10-05 21:47:56
6.5,44727,596,Portsmouth 5 C's IPA,American IPA,4.5,5.0,5.0,4.5,ALeF,5.0," As a devoted drinker of American and English IPA's, I find Portsmouth Brewery's offering, 5 C's IPA, to tantalize an IPA-crazed persons senses!		As you pour this beer, a cloudy, orange haze fills the glass. There was very little head that formed (due to coming from a growler?), but there still was a decent amount of lacing on the sides of the glass.		This is a deliciously flavorful smelling beer. It contained the full hoppy citrus aroma that one looks for in an IPA, but it was also accompanied by a hint of spice.		The taste was that of a spicy-citrus flavor, balanced out by just the perfect punch of sweet malty flavor.		As this beer hit the tongue there is an initial bitterness that transforms into a sweet flavor, and concluded with a spicy, somewhat dry feeling. This beer left me wanting for another mouthful.		This might quickly become one of my top 10 favorites.",2009-10-05 21:48:46
8.5,42303,106,Schlitz High Gravity V.S.L Very Smooth Lager,American Malt Liquor,3.0,3.0,2.0,2.5,twiggamortis420,2.0," 24 oz. of the golden bull, oh yeah. Pours a light golden color with perfect clarity and a small white head that fades to nothingness in very few seconds.		Sweet maltiness with a hefty dose of alcohol is about all I get in the nose on this one. Pretty clean and fresh smelling malt liquor.		This one will get you drunk in a hurry. The sharp, rough alcohol is readily apparent and is only masked by some light grainy malts and carbonation. I do not detect any bitterness from hops, but the heavy alcohol dries out the finish enough to not taste sweet. I would much rather tame the blue bull than this golden beast...V.S.L. my ass! There is nothing smooth about it. Highly unlikely I will be buying this one again.",2009-10-05 21:49:02
9.4,40340,9550,Oak-Aged Ebenezer,American Double / Imperial Stout,4.5,4.0,4.0,4.5,msubulldog25,4.0," Caged/corked 750ml bottle split on a cool Sunday afternoon with my wife to a pair of snifters. Huge thanks to RedHaze for sending this last winter.		'Special Bottling' with a handwritten back label:	Beer Style: ""OAK-AGED EBENEZER""	Character: ""MALTY CHOCOLATE, SPICED, OAK""	Approved: blue signature, impossible to read...	Bottled In: ""SEPT 2008""	Brewed In: ""AUG 2007""	9.1% Alc/Vol	#677 of 1521		A: Corked released with a modest 'THUP', carbonation gusher waited a few seconds to unleash; minimal loss, thanks to quick glasswork by the missus...but be warned. Pours a murky orange-brown, though the haze tends to settle out to a clearer 'bourbon' color and consistency over time. The initial head of fizzy tan (2-fingers) loses it's aggression and settles to a creamy, never-fading cap that replenishes with each sip or swirl, leaves dabs of lace.		S: First sniffs showed strong oak and a hint at sour/paper oxidation. With some warming and relaxing, spiced gingerbread and dark chocolate accents creep in. Herbal hops, with a whiff of cherry puree.		T: Like the aroma, first taste (maybe 10 minutes warming outside the fridge) seemed overly oaky and a bit tart. With warming, more chocolate emerges and a fruit leather tang. Woody char is subtle, never get too sweet.		M: Feel is creamy, with an effervescing carbonation and a lasting earth/spice bitterness. Dull tingle grows on the tongue, a touch of tartness pulls the cheeks. Acidic tang comes and goes.		D: A nice, warming sipper with plenty going on to keep interest throughout. It was nice to see how this opened up once it warmed and the carbonation waned. The 'Imperial Stout' moniker was a little misleading, as the transformative oak-aging and heavy spices made this more 'Strong Ale' or 'Winter Warmer' in my book. Very glad to have tried this...my first taste of 'Nebraska' is a winner.		PS: Thank God for my laptop's cache, or I'd have lost this review to the big BA server glitch...",2009-10-05 21:49:22
5.9,37477,140,Sierra Nevada Anniversary Ale (2007-2009),American IPA,4.5,4.5,4.5,4.5,n0rc41,4.5," Poured a great dark color with great smell! tasted wonderful with great flavor! full bodied hopy, pine tree flavor. nice full flavor balanced well with the spices and hops. great after taste with awesome bitterness at the end. This is a great IPA and reminds me of a racer 5 IPA and sierra nevada's pale ale cross!",2009-10-05 21:51:33
5.6,20206,9790,Duck-Rabbit Brown Ale,American Brown Ale,4.0,3.5,4.0,3.5,GJ40,4.0," Sampled from a 12oz bottle in a standard pint glass starting at 48 degrees. Bottle says enjoy by 10/09.		Brown in color with a reddish tinge and a fair amount of light coming through. Good clarity and a moderate beige head that dissipates quickly. The aroma has bread, caramel and a little yeast. The flavor leads with a nice bitterness from both the hops and roasted malts. It also has a fruity hint and a nice tang to it. It's very flavorful but smooth from start to finish. The consistency is a bit thin with a moderate carbonation.		This is a very drinkable beer. I'm really starting to appreciate Duck Rabbit more and more.",2009-10-05 21:51:33
4.6,401,118,Dark Island,Scottish Ale,4.0,4.0,4.5,4.0,sisuspeed,4.0," The color of this beer fits the name well. Opaque dark appearance with a bit of off-white foam floating on top. Poured into a snifter.		The aroma is quite good. Woody, toasted malts, chocolate, sweet syrupy malt smell as well. A little smokey, with some earthy notes. 		The taste has lots of well roasted malts. Very smooth, creamy. Almost a hint of whiskey flavor. Little bits of chocolate. Just slightly smokey.		The mouthfeel is full, rich for a beer of only 4.6% ABV. Some tingly carbonation that could maybe be toned down just a notch, but otherwise pretty good.		This is a very drinkable beer. The bottle is already going too fast. Could definitely have two of these 0.5L bottles in a sitting. Overall, a well crafted beer. I will be picking up more in the future and would like to try the big brother of this beer, Dark Island Reserve.",2009-10-05 21:53:38
5.5,7799,1628,Southampton Pumpkin Ale,Pumpkin Ale,3.5,3.5,4.0,4.0,indiapaleale,3.5," Pour - Southampton Pumpkin pours a very clean and clear copper color. The head is quite thick like a dollop of Cool Whip on top. Nice and bubbly.		Aroma - A lot of spice up front. Definitely some cinnamon and nutmeg along with ginger. Smells like a can of Libby's Pumpkin Pie filling but without all the sweetness.		Taste - The spices you smell do come into play nicely as far as the flavor of this beer goes. There is some sweet, buttery caramel flavor as well but its not overly sweet. Put those things together and you've got the making of a not so sweet pumpkin pie flavored beer. The actual pumpkin flavor is hidden and subtle at best but its definitely there. Very smooth with a nice creamy finish and it leaves the flavor of the cinnamon on your tongue. 		Overall - Not bad at all. Its a very solid pumpkin beer. I'd say its exactly how the brewer describes it. Definitely worth picking up a bottle if you're into pumpkin beers.",2009-10-05 22:00:37
4.9,909,306,Killian's Irish Red,American Amber / Red Lager,4.0,3.5,3.5,3.0,tone77,3.0," Poured from a brown 12oz. bottle. Has an amber color with a 1/2 inch head. Smell is slightly sweet, malts and grains. Taste is crisp but not a whole lot of flavor. Some malts and a slight bitterness. Feels light in the mouth and goes down pretty easily. Overall this is a fairly good beer.",2009-10-05 22:01:09
6.0,17431,433,Molson Canadian Cold Shots,American Adjunct Lager,3.0,2.0,2.5,3.0,shirfan,2.5," This has hit WNY as ""Canadian X"", in the same red-bull-sized can and 6.0 ABV.		Pour is pale gold with some foam. Average looking.		Aroma is sweet and adjunct laden, reminiscent of malt liquor.		Taste is heavy on grain, a bit watery, with a lingering sugary sweetness. Faint aftertaste of chemicals and alcohol.		Probably a bad call unless you're a frat boy looking to boast about how many cans of beer you drank in an hour.",2009-10-05 22:01:15
7.5,6076,651,Flower Power India Pale Ale,American IPA,3.5,4.5,4.0,3.5,OnThenIn,4.0," Appearance: The beer pours a rather cloudy darker straw gold color and has a nice finger of slightly off white head. There is a good amount of lacing and the head sticks around for a bit. This beer was poured into my DFH signature glass.		Smell: This aroma is wonderful. I mean this is a very original smelling ipa. There is a great deal of flower and fruit. There is not as much of the traditional citrus fruit smell and I really can't detect any passion fruit which is a cool change. There is also a hint of pineyness. I am just very impressed with this aroma. Tropical is the best word to describe it.		Taste: I have a great deal of bitterness, which opens up to a tropical flavor that has a great deal of citrus flavor that is wasn't in the smell. Hiding behind the citrus flavor was a bit of the tropical flavor that is present in the smell, but it didn't exactly hit you with a two by four. The aroma was a good deal better than the taste in my opinion. The beer had a great deal of bitter finish, which was rather crisp otherwise. 		Mouthfeel: This has a very creamy feel and definitely a nice medium body. The carbonation is really solid, but the bitter finish ruins the smoothness, which was really pleasing me. 		Drinkability: This beer was exactly what I expect from an ipa. It was rather enjoyable and one of the better ipas I have had. I think I will get this pretty rarely, because the sixer was at least a couple bucks more than some other first rate ipa. It is rather easy drinking.",2009-10-05 22:02:11
5.4,159,158,Denver Pale Ale,English Pale Ale,5.0,4.0,4.5,4.5,cdizinno,4.5," Presentation: Poured into a tulip glass from a 12 oz brown bottle with bottle date of Aug 26 '09. 		A: Bright, clear copper color with off-white head and lacing. 		S: Sweet and flowery hop aroma, some fruity malt scents. 		T&M: Very smooth with a sweet hop and malt flavor. Mild hop bitterness that finishes with a slightly sweet malt fruitiness. Dry finish. 		Great pale ale!",2009-10-05 22:02:19
5.0,778,113,Samuel Smith's Organically Produced Lager Beer,Euro Pale Lager,3.0,4.0,3.5,3.0,allforbetterbeer,4.0," Appearance: Typical lager gold. Slightly darker than average. White head that dissipates to 1/4 inch layer in a couple of minutes, minimal lacing.		Smell: Balanced hops and grains. Clean.		Taste: Notable hops characterize the initial flavor, blending with grains and malts, then dissipating into the minimal aftertaste together.		Mouthfeel: Bubbly and moderate to thin body.		Drinkability: Average, alcohol taste is present and noticeable.		Overall: I like this beer, it is a well crafted high quality lager. I could have stronger grain and malt in the flavor, but that is a personal preference. If you like lagers, try this beer.",2009-10-05 22:02:33
10.0,5863,530,Hertog Jan Grand Prestige,Belgian Strong Dark Ale,3.0,3.5,4.0,3.5,ccrida,4.0," Clear dark amber with a tight tan head leaving very little lace. 		Smell is sweet, metallic and phenolic, nutty, focused. 		Taste is malty, sweet and smooth, with light phenols and dry finish		Mouthfeel is a bit sticky, pretty low carbonation, medium to medium-light body. 		Drinkability is pretty good, a very nice quad I'd never heard before this visit to Amsterdam. Still, the sweet, dry maltiness is hard to drink too quickly.",2009-10-05 22:05:55
5.0,1371,478,Labatt Blue,American Adjunct Lager,2.5,3.5,3.0,2.5,Metalmonk,2.5," Pours a half-inch head that thins quickly, the bubbles breaking up before my eyes to form a crown in about 20 seconds. The liquid is as clear as tap water and about as neutral in color, being a washed-out yellow/gold. 		Something about the smell is attractive. It's not repulsing me, at least. There's a sweetness that appears natural enough, a zip of cane sugar, a zap of mashed corn, a pinch of honey. Not terrible, but as other beers have proven, a benevolent smell like this can turn evil real quick. Let's see...		While the sweet/corn elements of the nose come through in the flavor, they die after about 2 seconds. Powdered sugar, clover honey and sweet corn are detected with the first drops on the tongue, and then they disappear as if they were never there. The carbonation performs a magic trick, snatching any decent flavor up in a soda-like swirl of bubbles and leaving you with hardly any kind of finish. Sure, it's ""clean,"" but ultimately that translates to ""weak and unsatisfying."" 		There is nothing here that's 100% detestable. It has potential to be a decent beer, but it feels entirely compromised, rushed and made without a whole lot of love. It's just a commodity that somehow keeps this company in business decade after decade. So many better pilsners out there, you'd be foolish to go with this one for any reason other than total desperation and total lack of any other choices. That doesn't explain why I'm here looking at half a glass I'm not enthusiastic about finishing. Drain pour? Jury's out about that at this moment...",2009-10-05 22:06:04
10.0,44755,10097,Harpoon Leviathan - Imperial IPA,American Double / Imperial IPA,4.0,4.0,3.0,4.0,Seanibus,4.0," Pours deep golden with a copper tinge. The carbonation swirls in slow motion, creating a big fluffy head that clings in sticky lacing. The aroma is sweet and hoppy, with big citrus hop notes. The flavor is like a big glass of sweet grapefruit juice, wildly citrusy, a little sweet, almost cloying. The mouthfeel is tick and clingy, with a sting of carbonation on the front of the tongue.		This beer is good, but it is simply too much - the parts are good, but the sum I find punishing.",2009-10-05 22:06:49
7.7,4083,147,Stone Ruination IPA,American Double / Imperial IPA,4.5,4.5,4.0,4.0,ditch,5.0," Man O Man this is good!		 Poured a light bronze with a thick creamy white head. Head hangs around for quite some time before receding to thin clumpy bubbles and a thick ring around the glass.		 Smells of hops, hops, and more hops. Floral, citrus and pine. A woody barley tries to poke through. Also I'm getting a bit of the booze.		 Taste is actually well balanced for a beer this hoppy. I expected by the 100+ IBUs, that I would be making a pucker face after the first swig. Flavor is all over. Grapefruit, pine, sweet grain (pretty bready), pineapple... some others in there too, one I can't put my finger on. Oh, this is good!		 Mouthfeel is good. Carbonation is perfect for this style. 		 Drinkability is frighteningly good for this style. I could drink quite a few of these bombers in one sitting. 		 Not sure that this is a beer to drink on a regular basis. This is a beer to get for those times when you need a hop fix. Like the label says, I think my pallet is ruined for trying anything else tonight. I'm actually new to the hop bus, but I now understand why these beers are so popular. Thank you Stone! This one is amazing!",2009-10-05 22:09:04
8.0,1090,22,Quelque Chose,Fruit / Vegetable Beer,4.5,3.5,4.0,4.0,blaheath,3.5," Served hot.	Red/brown in color with minimal carbonation and aromas of sour cherries and spice. Taste is light in body, oily, sweet cherry, nutmeg, and a sweet average finish.		A bit too sweet for my tastes, but it is one of the only beers around here that can be served hot and enjoyed on a cold night.",2009-10-05 22:09:56
4.1,51464,29,Bud Light Golden Wheat,Herbed / Spiced Beer,3.0,3.0,3.5,3.5,armock,3.5," A - Poured a hazy orange color with a white head that quickly faded to a cover		S - Is fairly light but the wheat and citrus scents are present		T - Its really not a bad beer, they say that its a wheat beer with coriander and citrus peels. You know what thats what it tastes like.		M - This beer has a light body with medium carbonation to it		D - Being that its bud light this is a very easy beer to drink that smells and tastes good. I think this is another AB converting their flock to better beer product. Overall I think its a decent beer sure its not the best wheat beer out there but to say its any less than average would be wrong.",2009-10-05 22:11:53
14.5,10672,1549,Bourbon County Brand Stout,American Double / Imperial Stout,4.5,4.5,3.5,4.5,blaheath,4.0," Pitch black with almost no head produced from an aggressive pour. Aromas of wood, cigars, and chocolate. Taste is full bodied, oak vanilla, bourbon, chocolate, heavy alcoholic, very rich, with a long, sweet/creamy finish. There is a lot going on here, and this needs some time to mellow.",2009-10-05 22:12:04
